block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
4,9400,dci_gated,4,edge,0,0.744039871145453,1.0,0.4647447548978205,0.7,0.6524358974358975,0.716824303381312,0,20,20,0,439.57,439.899,45.465
4,9400,dci_gated,5,edge,0,0.744039871145453,1.0,0.5455054462211437,0.7,0.7225641025641025,0.7434956724152074,0,20,20,0,321.391,321.704,62.169
4,9400,dci_gated,6,edge,0,0.8048875348072029,1.0,0.7829464717038946,0.75,0.7319230769230769,0.8175996395810412,0,20,20,0,431.592,431.86,46.3113
4,9400,dci_gated,7,geo,1,0.4878190208021085,1.0,0.07348374413013681,0.375,0.7475641025641026,0.5237861194111698,1,20,20,0,6228.131,6228.659,3.211
4,9400,dci_gated,8,geo,0,0.7864770209080968,1.0,0.6237803953684338,0.7,0.7710256410256411,0.7770291804545573,0,20,20,0,1877.782,1878.162,10.6487
4,9400,dci_gated,9,geo,0,0.7859461844065212,1.0,0.5188465735437142,0.8,0.8373076923076923,0.785852014656527,0,20,20,0,1456.841,1457.19,13.7251
4,9400,dci_gated,10,geo,0,0.8925005231474179,1.0,0.6800618002144461,0.9,0.7325641025641026,0.8490221062143591,0,20,20,0,987.458,987.808,20.2468
4,9400,dci_gated,11,geo,0,0.8454175257251918,1.0,0.7033919440652292,0.8166666666666667,0.8307692307692308,0.8399814881930617,0,20,20,0,1266.502,1266.907,15.7865
4,9400,dci_gated,12,geo,0,0.8160228939824142,1.0,0.672785482243274,0.7166666666666667,0.8308974358974359,0.8065307686622071,0,20,20,0,2766.748,2767.162,7.2276
4,9400,dci_gated,13,text,1,0.39616013131864414,1.0,0.0,0.24545454545454548,0.6605128205128206,0.4472078649974932,1,20,20,0,1606.034,1606.272,12.4512
4,9400,dci_gated,14,text,0,0.8489741213301549,1.0,0.7422189129895893,0.875,0.8558974358974359,0.864071928315072,0,20,20,0,477.215,477.411,41.8927
4,9400,dci_gated,15,text,0,0.8854386494659702,1.0,0.770943788173395,1.0,0.663846153846154,0.8751253430780946,0,20,20,0,459.501,459.674,43.5091
4,9400,dci_gated,16,text,0,0.8881264350435107,1.0,0.8135705013226626,0.8285714285714285,0.7896153846153846,0.8689023024320036,0,20,20,0,741.156,741.342,26.9781
4,9400,dci_gated,17,text,0,0.8862927649624365,1.0,0.6454148568336635,0.9,0.6960256410256411,0.835060008761188,0,20,20,0,287.083,287.242,69.6278
4,9400,dci_gated,18,text,0,0.7613921933681592,1.0,0.7025864977828784,0.6285714285714286,0.870897435897436,0.7872142489975167,0,20,20,0,319.947,320.1,62.4805
4,9400,dci_gated,19,review,1,0.4916045200809154,1.0,0.052388932821646805,0.3333333333333333,0.713974358974359,0.5071417370973788,1,20,20,0,15127.694,15128.042,1.322
4,9400,dci_gated,20,review,0,0.811505470645327,1.0,0.6827484737757522,0.75,0.7823076923076924,0.8067722162626361,0,20,20,0,391.638,391.849,51.04
4,9400,dci_gated,21,review,0,0.7787539809358446,1.0,0.7174677128454966,0.6444444444444444,0.8120512820512822,0.7888786189996417,0,20,20,0,500.4,500.644,39.9485
4,9400,dci_gated,22,review,0,0.7681551368653514,1.0,0.6993028258510435,0.7444444444444445,0.5556410256410257,0.7641343921215894,0,20,20,0,578.018,578.235,34.588
4,9400,dci_gated,23,review,0,0.7061855195859847,1.0,0.4213516753810199,0.5833333333333333,0.7571794871794872,0.69106030471629,1,20,20,0,684.479,684.678,29.2108
4,9400,dci_gated,24,review,0,0.7015507448394886,1.0,0.4247959560035709,0.4583333333333333,0.7437179487179487,0.6635712363849453,1,20,20,0,394.161,394.36,50.7151
5,9500,dci_gated,1,edge,0,0.864519507751577,1.0,0.7463667751642247,0.875,0.8341025641025641,0.8655186165861238,0,20,20,0,197.417,197.679,101.174
5,9500,dci_gated,2,edge,0,0.7902447472442267,1.0,0.6326801330135639,0.75,0.8591025641025641,0.8029625980291542,0,20,20,0,602.343,602.608,33.1891
5,9500,dci_gated,3,edge,0,0.7172850788062028,1.0,0.5572691833504877,0.75,0.7256410256410257,0.7496212602178021,0,20,20,0,144.963,145.271,137.674
5,9500,dci_gated,4,edge,0,0.789514148439521,1.0,0.6725013284265877,0.9,0.8324358974358975,0.8367441874105825,0,20,20,0,393.761,394.055,50.7543
5,9500,dci_gated,5,edge,0,0.9258400252785088,1.0,0.6254577478520572,1.0,0.7773076923076924,0.8731477097361925,0,20,20,0,576.534,576.781,34.6752
5,9500,dci_gated,6,edge,0,0.7622877122199894,1.0,0.694173564643392,0.7,0.7524358974358974,0.7822720255990604,0,20,20,0,411.985,412.246,48.5148
5,9500,dci_gated,7,geo,1,0.4664642768842511,1.0,0.005829111682155386,0.1625,0.783846153846154,0.467858814634417,1,20,20,0,5135.104,5135.558,3.8944
5,9500,dci_gated,8,geo,0,0.775072520883384,1.0,0.5086507900458348,0.7166666666666667,0.7737179487179487,0.7548893138710386,0,20,20,0,1303.592,1303.951,15.338
5,9500,dci_gated,9,geo,0,0.7800307838175327,1.0,0.6943803072039696,0.7083333333333333,0.8488461538461539,0.8028773471387668,0,20,20,0,3249.609,3250.07,6.1537
5,9500,dci_gated,10,geo,0,0.7260680287279062,1.0,0.6933176377829346,0.5333333333333333,0.8205128205128206,0.7499241244821533,1,20,20,0,1815.54,1815.956,11.0135
5,9500,dci_gated,11,geo,0,0.9469407771870817,1.0,0.7323880441333263,1.0,0.6591025641025641,0.8820781877388204,0,20,20,0,1015.35,1015.698,19.6909
5,9500,dci_gated,12,geo,0,0.8776111313531698,1.0,0.807265941192556,0.9,0.8206410256410257,0.8839521249229576,0,20,20,0,679.484,679.842,29.4186
5,9500,dci_gated,13,text,1,0.4703532836409601,1.0,0.01919771784983526,0.49090909090909096,0.7957692307692308,0.53897506727741,1,20,20,0,1238.605,1238.842,16.1441
5,9500,dci_gated,14,text,0,0.7898727155763703,1.0,0.722339598927443,0.7285714285714285,0.721923076923077,0.7959388459323283,0,20,20,0,426.213,426.404,46.9039
5,9500,dci_gated,15,text,0,0.822022460988771,1.0,0.46625575517369966,0.8285714285714285,0.7657692307692309,0.779336436611603,0,20,20,0,647.253,647.409,30.8924
5,9500,dci_gated,16,text,0,0.7550522700790964,1.0,0.6312679359789586,0.5285714285714286,0.6321794871794872,0.7155578635067746,1,20,20,0,319.968,320.134,62.4739
5,9500,dci_gated,17,text,0,0.8218320236249466,1.0,0.6525565689923247,0.6666666666666666,0.7584615384615385,0.7830718838072657,1,20,20,0,302.171,302.349,66.1487
5,9500,dci_gated,18,text,0,0.6891143038365362,1.0,0.7380977712280634,0.5285714285714286,0.7802564102564102,0.742650877457494,1,20,20,0,181.058,181.241,110.3502
5,9500,dci_gated,19,review,1,0.5025502235545547,1.0,0.021271931958150914,0.5113636363636364,0.9096153846153847,0.5686069772453038,1,20,20,0,26462.605,26462.93,0.7558
5,9500,dci_gated,20,review,0,0.8661578193915949,1.0,0.6874943810882698,0.8888888888888888,0.7830769230769231,0.849277647304869,0,20,20,0,2313.185,2313.442,8.6451
5,9500,dci_gated,21,review,0,0.7402020221859127,1.0,0.5975827159815816,0.5444444444444444,0.7456410256410256,0.7253020914778372,1,20,20,0,2297.543,2297.788,8.704
5,9500,dci_gated,22,review,0,0.7645652197719025,1.0,0.46520603818811446,0.5833333333333333,0.6673076923076924,0.7009453330934191,1,20,20,0,772.891,773.108,25.8696
5,9500,dci_gated,23,review,0,0.8817045254882037,1.0,0.7219139641128614,0.9,0.7556410256410258,0.8581550780407772,0,20,20,0,547.461,547.651,36.5196
5,9500,dci_gated,24,review,0,0.8124475250167279,1.0,0.6479127870651871,0.7285714285714285,0.7756410256410258,0.794754878227659,0,20,20,0,369.355,369.557,54.1188
6,9600,dci_gated,1,edge,0,0.8242298034425207,1.0,0.4844001481663822,0.9,0.731923076923077,0.7927259420323682,0,20,20,0,341.525,341.846,58.5059
6,9600,dci_gated,2,edge,0,0.8022150719256483,1.0,0.7858003334571927,0.8,0.8211538461538462,0.8408869115959275,0,20,20,0,344.648,344.957,57.9783
6,9600,dci_gated,3,edge,0,0.7476204053962694,1.0,0.726108570240263,0.7,0.8753846153846154,0.8034345077048123,0,20,20,0,306.252,306.59,65.2338
