analysis_timestamp_utc,run_id,window,S_R,S_V,S_T,S_A,S_P,HSM
2026-07-05T13:56:59Z,20260705T135649Z,3909,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7488461538,0.7975619579
2026-07-05T13:56:59Z,20260705T135649Z,3910,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7821794872,0.8025619579
2026-07-05T13:56:59Z,20260705T135649Z,3911,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7351282051,0.9602692296
2026-07-05T13:56:59Z,20260705T135649Z,3912,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7871794872,0.8033119579
2026-07-05T13:56:59Z,20260705T135649Z,3913,0.6257641301,1.0000000000,0.9399182504,0.2500000000,0.7421794872,0.7057516057
2026-07-05T13:56:59Z,20260705T135649Z,3914,0.6257641301,1.0000000000,0.9399182504,0.2500000000,0.6943589744,0.6985785288
2026-07-05T13:56:59Z,20260705T135649Z,3915,0.6251540513,1.0000000000,0.8260550879,0.2500000000,0.8133333333,0.6934995304
2026-07-05T13:56:59Z,20260705T135649Z,3916,1.0000000000,1.0000000000,0.9087421033,1.0000000000,0.7891025641,0.9501138053
2026-07-05T13:56:59Z,20260705T135649Z,3917,0.7496918975,1.0000000000,0.9474775917,0.5000000000,0.6502564103,0.7744569542
2026-07-05T13:56:59Z,20260705T135649Z,3918,0.7221149473,1.0000000000,0.9167411894,0.3333333333,0.7235897436,0.7390821029
2026-07-05T13:56:59Z,20260705T135649Z,3919,0.7011185094,1.0000000000,0.9032887910,0.2500000000,0.7808974359,0.7230720009
2026-07-05T13:56:59Z,20260705T135649Z,3920,0.7011185094,1.0000000000,0.9032887910,0.2500000000,0.7652564103,0.7207258471
2026-07-05T13:56:59Z,20260705T135649Z,3921,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.6187179487,0.9428076911
2026-07-05T13:56:59Z,20260705T135649Z,3922,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.5817948718,0.7725042656
2026-07-05T13:56:59Z,20260705T135649Z,3923,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.6170512821,0.7777927272
2026-07-05T13:56:59Z,20260705T135649Z,3924,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7373076923,0.9605961527
2026-07-05T13:56:59Z,20260705T135649Z,3925,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7906410256,0.9685961527
2026-07-05T13:56:59Z,20260705T135649Z,3926,0.7233498105,1.0000000000,0.9500849642,0.3333333333,0.6473076923,0.7346172660
2026-07-05T13:56:59Z,20260705T135649Z,3927,0.8048689313,1.0000000000,0.9646740990,0.6666666667,0.8403846154,0.8535430783
2026-07-05T13:56:59Z,20260705T135649Z,3928,0.6666666667,1.0000000000,0.9526695251,0.3333333333,0.7770512821,0.7404249307
2026-07-05T13:56:59Z,20260705T135649Z,3929,0.6251540513,1.0000000000,0.9102991883,0.2500000000,0.8080769231,0.7095598889
2026-07-05T13:56:59Z,20260705T135649Z,3930,0.5796768414,1.0000000000,0.8104531428,0.2000000000,0.8353846154,0.6723175312
2026-07-05T13:56:59Z,20260705T135649Z,3931,1.0000000000,1.0000000000,0.9087421033,1.0000000000,0.7838461538,0.9493253437
2026-07-05T13:56:59Z,20260705T135649Z,3932,0.7743054762,1.0000000000,0.9138189211,0.7500000000,0.6773076923,0.8279363071
2026-07-05T13:56:59Z,20260705T135649Z,3933,0.7691695844,1.0000000000,0.6598519686,0.8000000000,0.8444871795,0.8109358667
2026-07-05T13:56:59Z,20260705T135649Z,3934,0.6888213532,1.0000000000,0.6339308198,0.2000000000,0.8408974359,0.6651261176
2026-07-05T13:56:59Z,20260705T135649Z,3935,0.6665729829,1.0000000000,0.2745654903,0.3333333333,0.5866666667,0.5762230105
2026-07-05T13:56:59Z,20260705T135649Z,3936,0.7938906972,1.0000000000,0.5723667271,0.5000000000,0.7691025641,0.7283114043
2026-07-05T13:56:59Z,20260705T135649Z,3937,0.7511429768,1.0000000000,0.5455743187,0.3333333333,0.7591025641,0.6774326592
2026-07-05T13:56:59Z,20260705T135649Z,3938,0.7911717252,1.0000000000,0.8131414665,0.5000000000,0.6887179487,0.7637289169
2026-07-05T13:56:59Z,20260705T135649Z,3939,0.6519264212,1.0000000000,0.0788625447,0.2500000000,0.6541025641,0.5268694989
