geom,delta,seed,policy,recall,fa,auc,esc_pct,feat_pct,note
axis_sv,3.5,0,dci_v3,1.0,1,0.9905,0.0,4.96,
axis_sv,3.5,0,dci_v3_a8,0.8333,0,0.9905,12.2,16.55,
axis_sv,3.5,1,always_multiD,0.8333,0,0.9524,100.0,100.0,
axis_sv,3.5,1,union4_bonf,0.8333,0,0.981,0.0,4.96,
axis_sv,3.5,1,best_axis_oracle,0.8333,0,0.9952,0.0,0.01,S_V
axis_sv,3.5,1,sketch1,0.1667,1,0.8857,0.0,100.0,
axis_sv,3.5,1,dci_v3,0.8333,0,0.981,0.0,4.96,
axis_sv,3.5,1,dci_v3_a8,0.8333,0,0.981,12.2,16.55,
axis_sv,3.5,2,always_multiD,1.0,3,0.9762,100.0,100.0,
axis_sv,3.5,2,union4_bonf,1.0,2,0.9952,0.0,4.96,
axis_sv,3.5,2,best_axis_oracle,1.0,1,1.0,0.0,0.01,S_V
axis_sv,3.5,2,sketch1,0.5,0,0.8667,0.0,100.0,
axis_sv,3.5,2,dci_v3,1.0,2,0.9952,0.0,4.96,
axis_sv,3.5,2,dci_v3_a8,1.0,2,0.9952,12.2,16.55,
axis_sv,3.5,3,always_multiD,0.8333,1,0.9714,100.0,100.0,
axis_sv,3.5,3,union4_bonf,0.8333,0,1.0,0.0,4.96,
axis_sv,3.5,3,best_axis_oracle,1.0,1,1.0,0.0,0.01,S_V
axis_sv,3.5,3,sketch1,0.5,6,0.7714,0.0,100.0,
axis_sv,3.5,3,dci_v3,0.8333,0,1.0,0.0,4.96,
axis_sv,3.5,3,dci_v3_a8,0.8333,0,1.0,12.2,16.55,
axis_sv,3.5,4,always_multiD,1.0,6,0.9905,100.0,100.0,
axis_sv,3.5,4,union4_bonf,1.0,6,0.9905,0.0,4.96,
axis_sv,3.5,4,best_axis_oracle,1.0,7,0.9905,0.0,0.01,S_V
axis_sv,3.5,4,sketch1,0.6667,9,0.8476,0.0,100.0,
axis_sv,3.5,4,dci_v3,1.0,6,0.9905,0.0,4.96,
axis_sv,3.5,4,dci_v3_a8,1.0,6,0.9905,14.6,18.87,
axis_sv,3.5,5,always_multiD,0.6667,1,0.981,100.0,100.0,
axis_sv,3.5,5,union4_bonf,0.5,0,0.9762,0.0,4.96,
axis_sv,3.5,5,best_axis_oracle,0.8333,1,0.9619,0.0,0.01,S_V
axis_sv,3.5,5,sketch1,0.5,0,0.8095,0.0,100.0,
axis_sv,3.5,5,dci_v3,0.5,0,0.9762,0.0,4.96,
axis_sv,3.5,5,dci_v3_a8,0.5,0,0.9762,12.2,16.55,
axis_sv,3.5,6,always_multiD,0.8333,4,0.8952,100.0,100.0,
axis_sv,3.5,6,union4_bonf,0.5,1,0.9381,0.0,4.96,
axis_sv,3.5,6,best_axis_oracle,1.0,0,1.0,0.0,0.01,S_V
axis_sv,3.5,6,sketch1,0.6667,0,0.9762,0.0,100.0,
axis_sv,3.5,6,dci_v3,0.5,1,0.9381,0.0,4.96,
axis_sv,3.5,6,dci_v3_a8,0.5,2,0.9524,14.6,18.87,
axis_sv,3.5,7,always_multiD,0.6667,4,0.9143,100.0,100.0,
axis_sv,3.5,7,union4_bonf,0.6667,1,0.9762,0.0,4.96,
axis_sv,3.5,7,best_axis_oracle,1.0,1,0.9952,0.0,0.01,S_V
