workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,mixed,44,always_1D,41,6,6,1.0,0.0,21,27,0.04878048780487805,0.12287928998031117
tpch,mixed,45,always_5D,41,6,6,1.0,0.0,12,18,1.0,2.348561333337177
tpch,mixed,45,dci_gated,41,6,6,1.0,0.0,12,18,0.36585365853658536,0.8647733044326
tpch,mixed,45,always_1D,41,6,6,1.0,0.0,12,18,0.04878048780487805,0.12287928998031117
tpch,mixed,46,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,46,dci_gated,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,46,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,47,always_5D,41,6,6,1.0,0.0,13,19,1.0,2.348561333337177
tpch,mixed,47,dci_gated,41,6,6,1.0,0.0,13,19,0.04878048780487805,0.12287928998031117
tpch,mixed,47,always_1D,41,6,6,1.0,0.0,13,19,0.04878048780487805,0.12287928998031117
tpch,mixed,48,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,48,dci_gated,41,6,6,1.0,0.0,14,20,0.0975609756097561,0.23701683066527926
tpch,mixed,48,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,49,always_5D,41,6,6,1.0,0.0,24,30,1.0,2.348561333337177
tpch,mixed,49,dci_gated,41,6,6,1.0,0.0,24,30,0.0975609756097561,0.23701683066527926
tpch,mixed,49,always_1D,41,6,6,1.0,0.0,24,30,0.04878048780487805,0.12287928998031117
tpch,template_only,0,always_5D,41,6,5,0.8333333333333334,0.0,0,5,1.0,2.348561333337177
tpch,template_only,0,dci_gated,41,6,5,0.8333333333333334,0.0,0,5,0.04878048780487805,0.12287928998031117
tpch,template_only,0,always_1D,41,6,5,0.8333333333333334,0.0,0,5,0.04878048780487805,0.12287928998031117
tpch,template_only,1,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,1,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,1,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,2,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
