workload,config,seed,dci,eff_rank,stable_rank,p1
tpch,volume_only,48,1.3748558875378833,1.574911219922261,1.1938551755251743,0.8376225362176799
tpch,volume_only,49,1.7930605197402127,1.9122312078606392,1.4870687479613638,0.6724638664963603
tpch,mixed,0,2.1602859297489463,2.432530343938905,1.7478953508338406,0.5721166313091605
tpch,mixed,1,1.7443765031619547,1.944957115582502,1.4270792175572116,0.7007319479515229
tpch,mixed,2,1.8655229946605623,2.146794456818991,1.487648473857963,0.672201812170499
tpch,mixed,3,1.8514986702912692,1.939997505976616,1.5533446998329967,0.6437721132389431
tpch,mixed,4,1.8615420405704286,1.9437630297538837,1.5665859000201514,0.6383307803211664
tpch,mixed,5,1.6916372605046666,1.8581880453176318,1.396471710935745,0.7160904099732333
tpch,mixed,6,1.5820418742855258,1.7600244984656277,1.319346559292634,0.7579509666786479
tpch,mixed,7,1.9849271330856724,2.2677393643358665,1.5607533619190652,0.6407162235873218
tpch,mixed,8,2.2134846904069736,2.504840053922516,1.685095876180384,0.5934380435769064
tpch,mixed,9,2.091459588805144,2.3061144714487782,1.7163709960414562,0.5826246203800607
tpch,mixed,10,1.8932285139671277,2.0349907811688506,1.5746982420941262,0.6350423041497406
tpch,mixed,11,2.1913753387342116,2.4553120659834526,1.8034279245821025,0.5544995651721008
tpch,mixed,12,2.3707982511797447,2.59072313403608,1.907769033988016,0.524172466469692
tpch,mixed,13,2.0701160695489755,2.3004973007747567,1.6657377970822638,0.6003345795188282
tpch,mixed,14,2.501438420568714,2.8155438967970623,1.9053409841145628,0.5248404397623941
tpch,mixed,15,1.8081190152266768,1.96991288289458,1.48836701523849,0.6718772922011873
tpch,mixed,16,2.313374575708166,2.613739158604322,1.8787438944801043,0.5322705255027457
tpch,mixed,17,2.1967901437678483,2.437995383355785,1.7772703745843677,0.5626605913767397
tpch,mixed,18,1.653920805203829,1.813465559235468,1.370350513534246,0.7297403037569696
tpch,mixed,19,1.8406178794411543,2.0070884937371103,1.5162305735190549,0.6595302966877107
tpch,mixed,20,2.1735112617382777,2.451714528847745,1.748359917105631,0.5719646110713157
tpch,mixed,21,1.7538081048282184,1.896301211561473,1.4482717521526605,0.6904781499146379
tpch,mixed,22,1.7307598564275524,1.8908485602870726,1.427140014433501,0.7007020964211048
tpch,mixed,23,1.8841104263999207,2.0877013547057874,1.5368316940499014,0.6506893395494547
tpch,mixed,24,1.6648396644053025,1.8540656167688898,1.3741200766483204,0.7277384393066624
tpch,mixed,25,1.6325375897297232,1.7986531225099909,1.354375303568621,0.7383477809770428
tpch,mixed,26,1.7021018881466115,1.8569372917372116,1.4058924942860271,0.7112919402189732
tpch,mixed,27,2.3547633217825017,2.6282205106673766,2.1164032801969266,0.4724997401756778
tpch,mixed,28,1.9153109564870159,2.007361798131352,1.6267240866837553,0.614732398804399
tpch,mixed,29,2.0900661063746915,2.35164554266007,1.6863594655612055,0.592993380368763
tpch,mixed,30,2.202014571310501,2.407177208183524,1.924768160005678,0.5195430913596627
tpch,mixed,31,2.2118832088539793,2.4349707402776444,1.8728314011164802,0.5339508934994652
