id,arm,cluster_a,start_a,cluster_b,start_b,lam,stratum,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows
254,cross,14,1065,11,1065,1.0,cross/offaxis/l1,0.1621,1.4045,0.1563,12
255,cross,14,1065,56,2065,0.05,cross/offaxis/l0.05,1.0,1.1653,1.0,0
256,cross,14,1065,56,2065,0.1,cross/offaxis/l0.1,1.0,1.1867,1.0,0
257,cross,14,1065,56,2065,0.2,cross/offaxis/l0.2,1.0,1.2913,1.0,0
258,cross,14,1065,56,2065,0.4,cross/offaxis/l0.4,1.0,1.766,1.0,1
259,cross,14,1065,56,2065,1.0,cross/offaxis/l1,0.1659,1.3937,0.1054,12
260,cross,14,1065,56,1065,0.05,cross/offaxis/l0.05,1.0,1.1671,1.0,0
261,cross,14,1065,56,1065,0.1,cross/offaxis/l0.1,1.0,1.1876,1.0,0
262,cross,14,1065,56,1065,0.2,cross/offaxis/l0.2,1.0,1.2925,1.0,0
263,cross,14,1065,56,1065,0.4,cross/offaxis/l0.4,1.0,1.6975,1.0,1
264,cross,14,1065,56,1065,1.0,cross/offaxis/l1,0.1745,1.3669,0.1657,12
265,cross,14,1065,56,1065,0.05,cross/offaxis/l0.05,1.0,1.1661,1.0,0
266,cross,14,1065,56,1065,0.1,cross/offaxis/l0.1,1.0,1.1877,1.0,0
267,cross,14,1065,56,1065,0.2,cross/offaxis/l0.2,1.0,1.2905,1.0,0
268,cross,14,1065,56,1065,0.4,cross/offaxis/l0.4,1.0,1.7096,1.0,1
269,cross,14,1065,56,1065,1.0,cross/offaxis/l1,0.1745,1.3669,0.1657,12
270,cross,14,1065,56,2065,0.05,cross/offaxis/l0.05,1.0,1.1659,1.0,0
271,cross,14,1065,56,2065,0.1,cross/offaxis/l0.1,1.0,1.183,1.0,0
272,cross,14,1065,56,2065,0.2,cross/offaxis/l0.2,1.0,1.2954,1.0,0
273,cross,14,1065,56,2065,0.4,cross/offaxis/l0.4,1.0,1.707,1.0,1
274,cross,14,1065,56,2065,1.0,cross/offaxis/l1,0.1659,1.3937,0.1054,12
275,cross,14,1065,56,1065,0.05,cross/offaxis/l0.05,1.0,1.1663,1.0,0
276,cross,14,1065,56,1065,0.1,cross/offaxis/l0.1,1.0,1.1862,1.0,0
277,cross,14,1065,56,1065,0.2,cross/offaxis/l0.2,1.0,1.2968,1.0,0
278,cross,14,1065,56,1065,0.4,cross/offaxis/l0.4,1.0,1.7081,1.0,3
279,cross,14,1065,56,1065,1.0,cross/offaxis/l1,0.1745,1.3669,0.1657,12
280,cross,14,1065,16,65,0.05,cross/offaxis/l0.05,1.0,1.159,1.0,0
281,cross,14,1065,16,65,0.1,cross/offaxis/l0.1,1.0,1.1775,1.0,0
282,cross,14,1065,16,65,0.2,cross/offaxis/l0.2,1.0,1.2625,1.0,0
283,cross,14,1065,16,65,0.4,cross/offaxis/l0.4,1.0,1.6957,1.0,0
284,cross,14,1065,16,65,1.0,cross/offaxis/l1,0.1551,1.4212,0.1488,12
285,cross,14,1065,16,1065,0.05,cross/offaxis/l0.05,1.0,1.1612,1.0,0
286,cross,14,1065,16,1065,0.1,cross/offaxis/l0.1,1.0,1.1747,1.0,0
287,cross,14,1065,16,1065,0.2,cross/offaxis/l0.2,1.0,1.269,1.0,0
288,cross,14,1065,16,1065,0.4,cross/offaxis/l0.4,1.0,1.7405,1.0,0
289,cross,14,1065,16,1065,1.0,cross/offaxis/l1,0.1543,1.4229,0.1476,12
290,cross,14,1065,16,1065,0.05,cross/offaxis/l0.05,1.0,1.1618,1.0,0
291,cross,14,1065,16,1065,0.1,cross/offaxis/l0.1,1.0,1.1744,1.0,0
292,cross,14,1065,16,1065,0.2,cross/offaxis/l0.2,1.0,1.2727,1.0,0
