block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
5,7600,dci_gated,16,MixShift2,0,0.944342,1.0,0.86968,1.0,0.733522,0.92005,0,1.0021,cheap,0.9994,0,1.7657,cheap,1,32,32,11929.171,12717.226,2.5163,1.0
5,7600,dci_gated,17,MixCalm,1,0.882346,0.625,0.619108,1.0,0.713205,0.776389,1,1.0011,cheap,0.9997,0,1.7166,cheap,1,20,20,7492.859,8030.297,2.4906,1.0
5,7600,dci_gated,18,MixCalm,0,0.9579,1.0,0.809174,1.0,0.822051,0.924618,0,1.0011,cheap,0.9997,0,2.9397,cheap,1,20,20,9243.084,10011.747,1.9977,1.0
5,7600,dci_gated,19,MixCalm,0,0.731397,1.0,0.329628,0.854497,0.795128,0.738943,0,1.0012,cheap,0.9997,0,2.6676,cheap,1,20,20,10996.041,11730.835,1.7049,1.0
5,7600,dci_gated,20,MixCalm,0,0.811623,1.0,0.622508,0.854497,0.791667,0.817057,0,1.0012,cheap,0.9997,0,1.669,cheap,1,20,20,9179.835,9929.026,2.0143,1.0
5,7600,dci_gated,21,MixShift3,1,0.64963,1.0,0.429802,0.811905,0.756538,0.72423,1,1.0014,cheap,0.9996,0,1.7029,cheap,1,20,20,9837.672,10423.75,1.9187,1.0
5,7600,dci_gated,22,MixShift3,0,0.869428,1.0,0.631279,1.0,0.848846,0.87094,0,1.0014,cheap,0.9996,0,2.8334,cheap,1,20,20,14186.376,14627.434,1.3673,1.0
5,7600,dci_gated,23,MixShift3,0,0.859642,1.0,0.479614,1.0,0.790256,0.829372,0,1.0014,cheap,0.9996,0,1.6333,cheap,1,20,20,6896.544,7556.179,2.6468,1.0
5,7600,dci_gated,24,MixShift3,0,0.869428,1.0,0.558415,1.0,0.650513,0.826617,0,1.0014,cheap,0.9996,0,1.6875,cheap,1,20,20,12944.689,13350.267,1.4981,1.0
6,7700,dci_gated,1,MixBase,0,0.907993,1.0,0.64762,1.0,0.755513,0.869849,0,1.0,cheap,1.0,0,2.7199,cheap,1,20,20,4675.523,5278.4,3.789,1.0
6,7700,dci_gated,2,MixBase,0,0.936793,1.0,0.779462,1.0,0.779231,0.906975,0,1.1862,cheap,1.0,0,1.7152,cheap,1,20,20,4224.33,4807.354,4.1603,1.0
6,7700,dci_gated,3,MixBase,0,0.88009,1.0,0.848321,0.880952,0.844359,0.892531,0,2.0049,cheap,1.0,0,1.7243,cheap,1,20,20,4328.749,4890.668,4.0894,1.0
6,7700,dci_gated,4,MixBase,0,0.739257,1.0,0.495466,0.880952,0.847436,0.787213,0,1.5652,cheap,1.0,0,1.8025,cheap,1,20,20,3669.373,4092.449,4.887,1.0
6,7700,dci_gated,5,MixShift1,1,0.573407,1.0,0.250013,0.440092,0.840513,0.60745,1,1.1014,cheap,1.0103,0,1.7476,cheap,1,20,20,4585.723,5240.102,3.8167,1.0
6,7700,dci_gated,6,MixShift1,0,0.808109,1.0,0.670217,0.9375,0.705128,0.82934,0,1.1126,cheap,0.9765,0,2.9694,cheap,1,20,20,5392.602,5793.814,3.452,1.0
6,7700,dci_gated,7,MixShift1,0,0.825614,1.0,0.575538,0.9375,0.747179,0.821088,0,1.1183,cheap,1.0134,0,1.6323,cheap,1,20,20,5456.61,6107.748,3.2745,1.0
6,7700,dci_gated,8,MixShift1,0,0.905792,1.0,0.681163,1.0,0.732692,0.872585,0,1.1179,cheap,1.0611,0,1.7459,cheap,1,20,20,5397.535,5989.904,3.339,1.0
6,7700,dci_gated,9,MixSurge1,1,0.978996,0.625,0.878584,1.0,0.671923,0.846254,1,1.0017,cheap,0.9995,0,1.8353,cheap,1,32,32,8229.745,9768.919,3.2757,1.0
6,7700,dci_gated,10,MixSurge1,0,0.978996,1.0,0.903446,1.0,0.807638,0.946584,0,1.0018,cheap,0.9995,0,2.699,cheap,1,32,32,8431.467,9554.666,3.3491,1.0
6,7700,dci_gated,11,MixSurge1,0,0.873231,1.0,0.633867,1.0,0.791741,0.863842,0,1.0019,cheap,0.9995,0,1.73,cheap,1,32,32,8438.707,9500.585,3.3682,1.0
6,7700,dci_gated,12,MixSurge1,0,0.957992,1.0,0.793131,1.0,0.714899,0.905359,0,1.0019,cheap,0.9995,0,1.7742,cheap,1,32,32,9062.332,9779.034,3.2723,1.0
